Voltage (V),Current (A),Power (W),Resistance (Ω),Capacity used (mAh),Discharge Time (s)
4.193811,0.0,0.0,0.0,0,-5
4.192246,0.0,0.0,0.0,0,-4
4.192112,0.0,0.0,0.0,0,-3
4.193274,0.0,0.0,0.0,0,-2
4.19247,0.0,0.0,0.0,0,-1
4.17937,0.998569,4.154185,4.167657,0,0
4.158132,0.998008,4.150388,4.163645,0,1
4.155405,0.998087,4.145646,4.15939,0,2
4.153169,0.99796,4.144986,4.162194,0,3
4.152499,0.998016,4.144653,4.160131,1,4
4.151828,0.998158,4.144635,4.159826,1,5
4.150486,0.998166,4.142013,4.159734,1,6
4.150755,0.998443,4.147076,4.159103,1,7
4.151023,0.998395,4.144285,4.15792,2,8
4.149682,0.998704,4.145686,4.156211,2,9
4.149928,0.998629,4.143702,4.157277,2,10
4.150174,0.998554,4.141717,4.158343,3,11
4.149861,0.99853,4.141764,4.155428,3,12
4.14919,0.998482,4.141423,4.154733,3,13
4.145971,0.998237,4.136621,4.154978,3,14
4.144451,0.997897,4.137692,4.152192,4,15
4.143869,0.998229,4.136497,4.154177,4,16
4.144451,0.99796,4.135664,4.153517,4,17
4.144674,0.997763,4.131441,4.151496,4,18
4.143691,0.9983,4.135418,4.152188,5,19
4.145747,0.998466,4.13923,4.149798,5,20
4.144853,0.998174,4.13859,4.150227,6,21
4.143959,0.997881,4.13795,4.150656,6,22
4.142797,0.998577,4.134527,4.150695,6,23
4.141634,0.998356,4.139624,4.14843,6,24
4.142573,0.997849,4.130381,4.150711,6,25
4.140069,0.997921,4.132451,4.147366,7,26
4.140605,0.998182,4.130344,4.151473,7,27
4.140337,0.997802,4.133708,4.146335,7,28
4.138102,0.998024,4.13061,4.147667,8,29
4.138683,0.998427,4.134941,4.146192,8,30
4.139175,0.998577,4.133934,4.146945,8,31
4.13875,0.99834,4.13212,4.147458,8,32
4.138325,0.998103,4.130306,4.147972,9,33
4.140427,0.998395,4.134021,4.146258,9,34
4.139041,0.998387,4.132143,4.148358,9,35
4.135956,0.99796,4.127751,4.143702,9,36
4.135687,0.997936,4.126758,4.143552,10,37
4.136716,0.99796,4.127409,4.14467,10,38
4.135821,0.998308,4.127293,4.145586,10,39
4.135643,0.997842,4.128113,4.145082,11,40
4.137163,0.998324,4.129726,4.145428,11,41
4.13609,0.998538,4.130142,4.143457,11,42
4.136604,0.998474,4.130082,4.143394,12,43
4.137118,0.998411,4.130021,4.143332,12,44
4.135061,0.998791,4.131291,4.141124,12,45
4.136895,0.99834,4.128774,4.142024,12,46
4.13381,0.998134,4.124981,4.14328,13,47
4.132915,0.998324,4.12527,4.141877,13,48
4.132647,0.997842,4.124319,4.142611,13,49
4.131753,0.997849,4.123331,4.14055,13,50
4.131753,0.998277,4.124916,4.142579,14,51
4.133497,0.998728,4.124892,4.139503,14,52
4.134212,0.998451,4.12587,4.13832,14,53
4.134279,0.998376,4.12563,4.138792,14,54
4.134346,0.9983,4.125391,4.139265,15,55
4.131172,0.998466,4.128757,4.13747,15,56
4.131127,0.998664,4.127315,4.136389,15,57
4.129115,0.998182,4.121513,4.138581,16,58
4.128265,0.99781,4.121949,4.137183,16,59
4.130233,0.998134,4.119506,4.13652,16,60
4.128042,0.997865,4.119427,4.137664,16,61
4.128534,0.997929,4.117785,4.138172,17,62
4.130009,0.998316,4.122929,4.138047,17,63
4.131529,0.99868,4.123898,4.136785,17,64
4.130501,0.998554,4.126994,4.135858,18,65
4.129785,0.998435,4.124472,4.135978,18,66
