Timestamp,Voltage (V),Current (A),Power (W),Resistance (Ω),Capacity used (mAh),Discharge Time (s)
2025-02-28 12:14:38,4.036698,0.997889,4.021790,4.037096,0,0
2025-02-28 12:14:39,4.026280,0.997644,4.015080,4.034394,0,1
2025-02-28 12:14:40,4.025252,0.997968,4.016781,4.035635,0,2
2025-02-28 12:14:41,4.025520,0.997256,4.014953,4.035725,0,3
2025-02-28 12:14:42,4.024224,0.998103,4.016036,4.034534,1,4
2025-02-28 12:14:44,4.024224,0.998237,4.017806,4.032495,1,5
2025-02-28 12:14:45,4.025968,0.998111,4.017272,4.033922,1,6
2025-02-28 12:14:46,4.025476,0.998166,4.017346,4.030684,1,7
2025-02-28 12:14:47,4.023777,0.998008,4.017761,4.032463,2,8
2025-02-28 12:14:48,4.023956,0.998071,4.016479,4.032596,2,10
2025-02-28 12:14:49,4.023285,0.997644,4.012486,4.030246,3,11
2025-02-28 12:14:50,4.020468,0.997644,4.011665,4.031562,3,12
2025-02-28 12:14:51,4.020334,0.997264,4.010461,4.030507,3,13
2025-02-28 12:14:52,4.020245,0.997652,4.011478,4.030303,3,14
2025-02-28 12:14:53,4.019574,0.997557,4.009378,4.029368,4,15
2025-02-28 12:14:55,4.021675,0.998538,4.013070,4.029072,4,16
2025-02-28 12:14:56,4.021765,0.998039,4.012039,4.030037,4,17
2025-02-28 12:14:57,4.021988,0.997770,4.014255,4.028272,4,18
2025-02-28 12:14:58,4.020915,0.997857,4.012084,4.029747,5,19
2025-02-28 12:14:59,4.020468,0.998071,4.009593,4.027234,5,21
2025-02-28 12:15:00,4.019127,0.998269,4.009656,4.026784,6,22
2025-02-28 12:15:01,4.017875,0.998118,4.007842,4.027392,6,23
2025-02-28 12:15:02,4.017338,0.997549,4.009199,4.026578,6,24
2025-02-28 12:15:03,4.018367,0.997881,4.008772,4.028612,6,25
2025-02-28 12:15:04,4.016757,0.997675,4.007759,4.027112,7,26
2025-02-28 12:15:07,4.019216,0.997849,4.010121,4.026276,7,28
2025-02-28 12:15:08,4.019395,0.998190,4.011374,4.027992,8,29
2025-02-28 12:15:09,4.018009,0.997849,4.008935,4.028100,8,31
2025-02-28 12:15:10,4.018412,0.997857,4.009546,4.025601,8,32
2025-02-28 12:15:11,4.015460,0.997794,4.006082,4.024400,9,33
2025-02-28 12:15:12,4.015639,0.997304,4.007113,4.025852,9,34
2025-02-28 12:15:13,4.015326,0.997327,4.007103,4.024083,9,35
2025-02-28 12:15:14,4.015863,0.998071,4.005383,4.026733,9,36
2025-02-28 12:15:15,4.015908,0.997992,4.005586,4.024541,10,37
2025-02-28 12:15:17,4.016042,0.997976,4.007978,4.025382,10,38
2025-02-28 12:15:18,4.015594,0.998379,4.008797,4.023160,10,39
2025-02-28 12:15:19,4.014566,0.998016,4.007812,4.022657,11,40
2025-02-28 12:15:20,4.015953,0.998150,4.009810,4.024780,11,42
2025-02-28 12:15:21,4.015505,0.997921,4.008295,4.023201,11,43
2025-02-28 12:15:22,4.014074,0.997842,4.007560,4.023679,12,44
2025-02-28 12:15:23,4.015594,0.997881,4.005932,4.023069,12,45
2025-02-28 12:15:24,4.014388,0.997936,4.004870,4.021173,12,46
2025-02-28 12:15:25,4.013449,0.997288,4.004578,4.023242,13,47
2025-02-28 12:15:26,4.014030,0.997802,4.004520,4.023549,13,48
2025-02-28 12:15:28,4.014388,0.997430,4.007645,4.024131,13,49
2025-02-28 12:15:29,4.015371,0.998000,4.007857,4.025206,13,50
2025-02-28 12:15:30,4.014700,0.997857,4.006457,4.021718,14,51
2025-02-28 12:15:31,4.013896,0.998451,4.007763,4.022926,14,53
2025-02-28 12:15:32,4.013180,0.998198,4.004472,4.022166,14,54
2025-02-28 12:15:33,4.011526,0.997620,4.005469,4.024511,15,55
2025-02-28 12:15:34,4.011973,0.997929,4.003432,4.021829,15,56
2025-02-28 12:15:35,4.012465,0.997683,4.005000,4.020261,15,57
2025-02-28 12:15:36,4.011571,0.997778,4.001952,4.021101,16,58
2025-02-28 12:15:38,4.012554,0.998024,4.004940,4.019255,16,59
2025-02-28 12:15:39,4.014388,0.998087,4.007943,4.022912,16,60
2025-02-28 12:15:40,4.012331,0.997929,4.007264,4.019006,16,61
2025-02-28 12:15:41,4.013046,0.998016,4.004783,4.019974,17,62
2025-02-28 12:15:42,4.013135,0.998324,4.006311,4.023288,17,64
2025-02-28 12:15:43,4.011302,0.997612,4.002139,4.018254,18,65
2025-02-28 12:15:44,4.011660,0.997620,4.004337,4.022802,18,66
2025-02-28 12:15:45,4.010811,0.997533,4.000396,4.021187,18,67
2025-02-28 12:15:46,4.011258,0.997438,4.002195,4.019928,18,68
2025-02-28 12:15:47,4.009916,0.997256,4.001781,4.020230,19,69
2025-02-28 12:15:49,4.012063,0.998055,4.002893,4.019532,19,70
2025-02-28 12:15:50,4.011794,0.998031,4.003325,4.020676,19,71
2025-02-28 12:15:51,4.013449,0.998198,4.004228,4.018672,19,72
2025-02-28 12:15:52,4.014119,0.997936,4.005996,4.021035,20,73
