Discharge Time (s),Voltage (V)
0,4.036698
1,4.02628
2,4.025252
3,4.02552
4,4.024224
5,4.024224
6,4.025968
7,4.025476
8,4.023777
9,4.0238665000000005
10,4.023956
11,4.023285
12,4.020468
13,4.020334
14,4.020245
15,4.019574
16,4.021675
17,4.021765
18,4.021988
19,4.020915
20,4.0206915
21,4.020468
22,4.019127
23,4.017875
24,4.017338
25,4.018367
26,4.016757
27,4.0179865
28,4.019216
29,4.019395
30,4.018702
31,4.018009
32,4.018412
33,4.01546
34,4.015639
35,4.015326
36,4.015863
37,4.015908
38,4.016042
39,4.015594
40,4.014566
41,4.0152595
42,4.015953
43,4.015505
44,4.014074
45,4.015594
46,4.014388
47,4.013449
48,4.01403
49,4.014388
50,4.015371
51,4.0147
52,4.014298
53,4.013896
54,4.01318
55,4.011526
56,4.011973
57,4.012465
58,4.011571
59,4.012554
60,4.014388
61,4.012331
62,4.013046
63,4.013090500000001
64,4.013135
65,4.011302
66,4.01166
67,4.010811
68,4.011258
69,4.009916
70,4.012063
71,4.011794
72,4.013449
73,4.014119
74,4.0134485
75,4.012778
76,4.011526
77,4.010364
78,4.010542
79,4.010095
80,4.009737
81,4.012957
82,4.012957
83,4.012465
84,4.012957
85,4.013449
86,4.01166
87,4.010408
88,4.009559
89,4.010811
90,4.00938
91,4.008799
92,4.009872
93,4.011973
94,4.010453
95,4.010766
96,4.011079
97,4.010364
98,4.00862
99,4.008888
100,4.007905
101,4.008531
102,4.009559
103,4.010319
104,4.01175
105,4.010498
106,4.010073
107,4.009648
108,4.009067
109,4.008173
110,4.007905
111,4.007278
112,4.009335
113,4.008486
114,4.008486
115,4.010006
116,4.0100505
117,4.010095
118,4.008441
119,4.005758
120,4.006876
121,4.007502
122,4.008307
123,4.0071
124,4.009067
125,4.009291
126,4.008486
127,4.0085975000000005
128,4.008709
129,4.008128
130,4.007412
131,4.00634
132,4.006966
133,4.006697
134,4.007771
135,4.007949
136,4.007457
137,4.009201
138,4.008575
139,4.007949
140,4.007323
141,4.006608
142,4.006787
143,4.00786
144,4.006072
145,4.00549
146,4.008128
147,4.007815
148,4.009156
149,4.008195000000001
150,4.007234
151,4.00862
152,4.005579
153,4.005535
154,4.00625
155,4.004775
156,4.005267
157,4.008352
158,4.008486
159,4.007815
160,4.0083515
161,4.008888
162,4.007949
163,4.006161
164,4.005088
165,4.005937
166,4.006116
167,4.005401
168,4.007949
169,4.009514
170,4.0071
171,4.0073235
172,4.007547
173,4.007994
174,4.005043
175,4.005177
176,4.005445
177,4.006608
178,4.003747
179,4.006474
180,4.008128
181,4.006429
182,4.0065855
183,4.006742
184,4.007234
185,4.003747
186,4.006161
187,4.005311
188,4.003791
189,4.004462
190,4.006876
191,4.006027
192,4.008307
193,4.0076365
194,4.006966
195,4.005624
196,4.004462
197,4.003076
198,4.002986
199,4.004819
200,4.004149
201,4.00549
202,4.007323
203,4.005267
204,4.005736499999999
205,4.006206
206,4.006921
207,4.003702
208,4.003031
209,4.00321
210,4.003702
211,4.005311
212,4.003523
213,4.004909
214,4.006072
215,4.006072
216,4.006072
217,4.004909
218,4.004059
219,4.004417
220,4.00321
221,4.004193
222,4.002718
223,4.005982
224,4.005848
225,4.004864
226,4.0052215
227,4.005579
228,4.006027
229,4.0016
230,4.005088
231,4.00245
232,4.002405
233,4.002584
234,4.005624
235,4.004283
236,4.003791
237,4.004529
238,4.005267
239,4.005356
240,4.002182
241,4.002137
242,4.00312
243,4.002494
244,4.002182
245,4.005088
246,4.004507
247,4.004507
248,4.003836
249,4.003165
250,4.004417
251,4.001913
252,4.002092
253,4.002539
254,4.002182
255,4.00236
256,4.002316
257,4.003612
258,4.003925
259,4.0040815
260,4.004238
261,4.004328
262,4.001243
263,4.001377
264,4.002539
265,4.002137
266,4.000617
267,4.002494
268,4.004596
269,4.002539
270,4.0032765
271,4.004014
272,4.004328
273,4.002986
274,4.001421
275,4.001287
276,4.002942
277,4.000393
278,4.002718
279,4.004283
280,4.002808
281,4.003277499999999
282,4.003747
283,4.002316
284,4.002182
285,4.000885
286,3.999767
287,4.001421
288,4.002182
289,4.002226
290,4.003523
291,4.001824
292,4.001645
293,4.001466
294,4.001555
295,4.003031
296,4.0016
297,4.001332
298,4.000125
299,4.002137
300,4.003657
301,4.003299
302,4.002718
303,4.002137
304,4.003433
305,3.999409
306,4.0016
307,4.001779
308,4.001109
309,4.001109
310,4.001824
311,4.003523
312,4.00236
313,4.0023825
314,4.002405
315,4.002494
316,3.999588
317,3.999901
318,3.998918
319,3.999678
320,4.000214
321,4.001466
322,4.001198
323,4.0016
324,4.002718
325,4.003836
326,4.000885
327,3.999678
328,4.001645
329,3.999186
330,3.999275
331,3.999722
332,4.001511
333,4.001958
334,4.001153
335,4.001086000000001
336,4.001019
337,4.00084
338,3.999812
339,4.000259
340,3.998739
341,3.999633
342,3.999007
343,4.001555
344,4.00093
345,4.001287
346,4.001421
347,4.001555
348,4.000795
349,3.997979
350,3.999499
351,3.99932
352,3.998828
353,4.000035
354,4.000706
355,4.001734
358,4.00008
359,3.999096
360,3.998605
361,3.998336
362,3.998828
363,3.998247
364,3.999454
365,3.999901
366,3.999499
367,4.0005495
368,4.0016
369,3.999901
370,3.998336
371,3.997889
372,3.996727
373,3.998381
374,3.999588
375,4.001913
376,3.999946
377,3.999365
378,4.0002815
379,4.001198
380,4.000304
381,3.998247
382,3.996503
